,de,fr,ja,ko,sentiment,hashtags,user_mentions,author_followers_count,author_friends_count,author_statuses_count,retweet_count,favorite_count,ADJ,ADV,CC,CS,ET,I,NC,NP,PREF,PRO,V,PUNC
1113928884620120064,0,0,1,0,-0.68631,0,0,41907,940,12532,321,668,3,0,0,0,0,0,21,0,1,1,11,8
1113929117186048002,1,0,0,0,0.712471,0,1,5252,1040,3437,0,0,2,1,1,1,0,0,3,2,0,8,6,2
1113929227403968514,1,0,0,0,-0.487874,0,2,9,38,353,1,1,2,2,4,0,0,0,8,2,2,13,11,8
1113929899583188993,1,0,0,0,-0.506726,0,1,43,106,2083,0,0,1,3,0,0,0,0,2,1,2,6,4,3
1113930566926315520,1,0,0,0,-0.706695,2,5,190,1398,4275,2,13,7,6,0,0,0,0,7,0,3,4,8,4
1113931498082766854,1,0,0,0,0.255338,0,1,373,133,2767,0,2,1,1,0,0,0,1,1,0,1,1,2,1
1113932702879834112,1,0,0,0,-0.617572,0,2,5,33,7044,0,0,7,3,3,1,0,0,6,0,2,7,10,4
1113933306377142273,1,0,0,0,-0.644404,0,0,4673,3491,20413,0,10,5,5,1,2,0,0,3,1,2,8,12,11
1113933681201225728,1,0,0,0,0.0,0,3,41,136,1363,0,2,5,1,1,0,0,0,8,2,2,2,5,2
1113933994582794246,1,0,0,0,0.0,0,1,5,95,378,0,0,2,4,2,1,0,0,10,1,2,5,7,6
1113934341086875649,1,0,0,0,0.0,0,1,416,184,2176,0,5,0,2,0,0,1,0,1,0,1,2,2,0
1113935372176826369,1,0,0,0,0.0,2,0,247,514,8363,0,1,1,0,0,0,0,0,5,0,1,0,4,1
1113935404812488704,0,0,1,0,-0.816221,0,0,85019,2378,66822,1119,1846,5,0,0,0,0,0,26,1,0,1,26,10
1113935545992871936,0,1,0,0,-0.756005,0,0,1496,159,20133,87,61,0,2,0,0,0,0,9,1,0,0,3,0
1113935578498777090,1,0,0,0,-0.856724,0,2,440,369,30192,0,0,1,1,0,0,0,0,1,1,0,1,2,1
1113936231988121600,1,0,0,0,0.0,0,1,1315,91,3441,0,0,0,1,2,0,0,0,5,1,1,0,3,2
1113936261423804419,0,1,0,0,0.796654,0,0,1546717,961,7844,28,820,6,0,0,1,0,0,8,0,0,2,4,2
1113936568140685312,1,0,0,0,-0.639589,0,2,21,464,1674,0,0,4,6,2,0,0,0,7,0,4,4,7,4
1113938605758734337,1,0,0,0,0.0,3,1,176,1254,149,0,0,8,2,1,0,0,0,4,2,4,5,8,4
1113939246300188677,0,1,0,0,0.708631,0,0,11754,993,252486,214,237,4,2,2,0,0,0,6,2,0,0,4,2
1113939332782546945,1,0,0,0,-0.692065,0,1,61,265,1595,0,0,1,1,1,0,0,0,2,0,0,0,2,0
1113940616646410240,1,0,0,0,0.0,2,0,428,72,9061,0,0,0,0,0,0,0,0,3,2,1,0,4,1
1113941272304267264,1,0,0,0,-0.256732,0,5,7,64,447,0,0,6,2,1,0,0,0,7,1,1,10,9,6
1113942298763649024,1,0,0,0,-0.648794,0,2,15,76,161,0,0,4,8,2,1,0,0,6,1,2,3,9,6
1113942598941650946,1,0,0,0,0.0,0,0,1436,1761,1484,1,0,1,1,1,0,0,0,7,0,0,13,7,8
1113943012856467456,0,0,0,1,-0.373273,1,0,399,24,1905,2124,345,4,0,0,0,0,0,19,2,1,0,5,5
1113943120562085888,1,0,0,0,0.0,0,1,249,308,25550,0,0,5,5,1,2,0,0,0,0,0,3,5,1
1113943634100015104,1,0,0,0,-0.656842,0,0,249,5001,1022,0,0,3,7,4,0,0,0,2,0,2,7,14,2
1113943656329826304,0,1,0,0,0.0,0,0,140805,344,47530,988,1741,1,0,1,1,1,0,4,1,0,4,5,1
1113943785510141952,1,0,0,0,-0.940305,0,1,66,97,5093,0,0,1,4,0,0,0,0,2,1,2,4,6,4
1113945119756095488,1,0,0,0,-0.589031,0,1,25,197,526,0,3,4,1,1,0,0,0,3,0,2,2,5,3
1113947716856569857,1,0,0,0,-0.636366,0,1,0,31,22,0,0,6,3,1,3,6,0,5,0,2,7,8,6
1113948219011211265,1,0,0,0,-0.778,0,2,2,16,219,0,0,4,2,1,1,0,0,3,1,1,4,5,4
1113948417502392320,1,0,0,0,0.0,2,0,582,1505,18269,0,0,2,3,0,0,0,0,6,2,2,5,6,4
1113948574214250497,1,0,0,0,-0.787309,0,3,14,32,409,0,0,4,4,2,0,0,0,5,4,2,8,10,0
1113949178374250496,0,0,1,0,0.773789,1,0,169,278,14610,36,137,7,0,0,0,0,0,12,6,0,0,11,3
1113949352697966593,1,0,0,0,-0.791174,2,0,0,6,3,0,1,2,4,0,1,0,0,9,1,3,1,5,4
1113949404279472128,1,0,0,0,-0.472224,1,1,4,88,208,0,0,6,4,3,1,0,0,4,1,1,8,11,4
1113949474467008515,1,0,0,0,-0.296753,0,2,409,660,19623,0,0,3,7,1,1,1,0,5,0,1,10,9,7
1113951012409217025,1,0,0,0,-0.278237,0,2,246,328,11955,0,0,2,8,1,0,0,0,4,1,2,10,10,6
1113951189417234437,1,0,0,0,0.0,0,1,18,172,2466,0,1,1,9,2,0,0,0,6,1,3,5,6,6
1113951497417633792,1,0,0,0,0.0,0,2,47,70,3789,0,0,0,1,0,0,0,0,0,0,0,1,2,1
1113951858236755969,1,0,0,0,0.624433,0,1,315,288,475,0,0,2,1,0,0,0,0,1,0,0,3,3,3
1113953569437290496,1,0,0,0,-0.566057,0,0,430,1542,5698,0,0,1,5,2,1,0,0,6,0,2,3,6,6
1113954427159887873,1,0,0,0,0.532745,0,2,45,76,1993,0,0,3,1,0,0,0,1,2,0,0,1,2,3
1113956664959479808,1,0,0,0,0.0,0,4,40,96,155,0,2,3,8,0,0,0,0,5,0,2,3,5,3
1113957524313710592,1,0,0,0,-0.701066,0,1,605,773,6103,0,0,3,2,1,0,0,0,6,1,2,3,3,4
